Name,Year_of_Release,Genre,Publisher,Critic_Score,ESRB_Rating,Global_Sale
Monster Hunter Rise,2022,Card Game,Capcom,88,M,11200000
The Anacrusis,2022,Shooter,Stray Bombay Company,51,T,200000
God of War,2022,Action,PlayStation PC,94,M,60000128
Rainbow Six Extraction,2022,Action,Ubisoft,71,M,9000000
Windjammers 2,2022,Sports,DotEmu,78,E,40688
Not For Broadcast,2022,Simulation,tinyBuild,82,M,3000000
Pokemon Legends: Arceus,2022,Role-Playing,Nintendo,32,E,12009999
Uncharted: Legacy of Thieves Collection,2022,Compilation,PlayStation PC,87,T,41000000
Tom Clancy's Rainbow Six Extraction,2022,Shooter,Ubisoft,73,E,10001597
The Waylanders,2022,Role-Playing,Gato Salvaje Studio,51,M,150000
Dying Light 2 Stay Human,2022,Action,Techland,76,M,5003215
Sifu,2022,Action,Sloclap,81,M,1203152
OlliOlli World,2022,Action,Private Division,84,E,5003125
Know By Heart,2022,Adventure,Ice-pick Lodge,65,T,84577
Oddworld: Stranger's Wrath HD,2022,Action,Oddworld Inhabitants,88,T,1600025
Lost Ark,2022,Action,Atari,55,E,1500245
Dynasty Warriors 9 Empires,2022,Action,Koei Tecmo Games,61,T,280000
King of Fighters XV,2022,Fighting,SNK Corporation,79,T,9062
Total War: Warhammer III,2022,Strategy,Sega,85,T,40400152
Horizon Forbidden West,2022,Action,Sony Interactive Entertainment,88,T,20001522
Destiny 2: The Witch Queen,2022,Shooter,Bungie Software,85,T,1000099
Monark,2022,Role-Playing,FuRyu,66,T,200000
Martha is Dead,2022,Adventure,Wired Productions,73,M,5313
Elden Ring,2022,Role-Playing,Bandai Namco Games,96,M,17500299
GRID Legends,2022,Racing,Electronic Arts,77,E,39270
Elex II,2022,Role-Playing,THQ,64,M,100000
Shadow Warrior 3,2022,Action,Devolver Digital,71,M,118500
Babylon's Fall,2022,Action,Square Enix,41,T,112023
Gran Turismo 7,2022,Racing,PlayStation Studios,87,E,198000
Triangle Strategy,2022,Strategy,Nintendo,83,T,1000010
SpellForce III Reforced,2022,Strategy,THQ Nordic,73,M,85821
Chocobo GP,2022,Racing,Square Enix,63,E,12414
Assassin's Creed Valhalla,2022,Adventure,Ubisoft,80,M,20001310
Distant Worlds 2,2022,Strategy,Slitherine,77,M,84664
WWE 2K22,2022,Fighting,2K Games,77,T,50000
Grand Theft Auto V,2022,Open-World,Rockstar Games,97,M,170000000
Tunic,2022,Adventure,Finji,85,E,85055
Persona 4 Arena Ultimax,2022,Fighting,ATLUS,84,T,12684
Stranger of Paradise Final Fantasy Origin,2022,Action,Square Enix,72,M,17905
Rune Factory 5,2022,Action,Xseed Games,68,T,500000
GhostWire: Tokyo,2022,Adventure,Bethesda Softworks,75,T,13996
Kirby and the Forgotten Land,2022,Action,Nintendo,85,T,5270000
Tiny Tina's Wonderlands,2022,Action,2K Games,78,T,243210
Agent Intercept,2022,Racing,PikPok,76,E,27561
Lost Ark,2022,MMO,Amazon Game Studios,81,M,1500000
Weird West,2022,Action,Devolver Digital,76,M,401000
Shatter Remastered Deluxe,2022,Arcade,Netflix,86,E,236520
Marvel's Iron Man VR,2022,Flight,Oculus Studios,73,T,5000529
Harvestella,2022,Action,Square Enix,73,T,26466
It Takes Two,2022,Action,Electronic Arts,88,T,5000419
Terracotta,2022,Action,Freedom! Games,70,T,22113
A Little to the Left,2022,Puzzle,Secret Mode,76,E,1249341
Sifu,2022,Action,Maximum Games,71,M,1645217
Sonic Frontiers,2022,Action,Sega,94,E,2500124
God of War Ragnarok,2022,Action,PlayStation Studios,76,M,5100000
Rogue Legacy 2,2022,Role-Playing,Cellar Door Games,79,E,2001264
Among Us VR,2022,Action,Limited Run Games,87,E,54354
Tactics Ogre Reborn,2022,Strategy,Square Enix,65,T,36783
Valkyrie Elysium,2022,Action,Xbox Game Studios,86,T,40362
Goat Simulator 3,2022,Simulation,Animal Uprising,68,T,1302531
The Dark Pictures Anthology: The Devil in Me,2022,Adventure,The Pokemon Company,70,M,23000427
Pokemon Scarlet and Viole,2022,Management,Focus Entertainment,72,E,10021256
World of Warcraft: Dragonflight,2022,Action,Vivendi Games,93,T,3700179
Soccer Story,2022,Role-Playing,No More Robots,65,E,3216240
Inscryption,2022,Card Game,Devolver Digital,85,M,1462231
The Walking Dead: Saints & Sinners Ch 2: Retribution,2022,Shooter,Skydance Interactive,81,M,5500012
Need for Speed Unbound,2022,Arcade,Electronic Arts,77,E,150000005
The Callisto Protocol,2022,Adventure,KRAFTON Inc,69,M,33622251
Marvel's Midnight Suns,2022,Strategy,2K GamesTake-Two Interactive,83,T,5000000
Dwarf Fortress,2022,Management,Bay 12 GamesKitfox Games,93,E,500000
Crossfire: Legion,2022,Real-Time,Prime Matter,64,T,10073
Dragon Quest Treasures,2022,Role-Playing,Square Enix,73,E,5511110
High on Life,2022,Shooter,Squanch Games,67,M,25000999
Crisis Core: Final Fantasy VII Reunion,2022,Action,Square Enix,83,T,3963266
Romancing SaGa - Minstrel Song Remastered,2022,Role-Playing,Square Enix,83,T,500000
FIFA 17,2016,Sports,Electronic Arts,85,E,9070000
Mario Party DS,2007,Misc,Nintendo,72,E,8910000
The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,96,M,8840000
Super Mario Kart,1992,Racing,Nintendo,,,8760000
FIFA 16,2015,Sports,Electronic Arts,82,E,8600000
Halo 2,2004,Shooter,Microsoft Game Studios,95,M,8490000
Wii Party,2010,Misc,Nintendo,68,E,8390000
Mario Party 8,2007,Misc,Nintendo,62,E,8280000
Star Wars Battlefront (2015),2015,Shooter,Electronic Arts,,,8210000
FIFA Soccer 13,2012,Action,Electronic Arts,88,E,8170000
GoldenEye 007,1997,Shooter,Nintendo,,,8090000
Pokemon Black 2/Pokemon White 2,2012,Role-Playing,Nintendo,,,8080000
Final Fantasy X,2001,Role-Playing,Sony Computer Entertainment,92,T,8050000
The Sims 3,2009,Simulation,Electronic Arts,86,T,8010000
Mario & Sonic at the Olympic Games,2007,Sports,Sega,,,7990000
Final Fantasy VIII,1999,Role-Playing,SquareSoft,90,T,7860000
Pac-Man,1982,Puzzle,Atari,,,7810000
Pok\xc3\xa9mon Platinum Version,2008,Role-Playing,Nintendo,83,E,7720000
Grand Theft Auto: Liberty City Stories,2005,Action,Take-Two Interactive,88,M,7690000
Call of Duty: Advanced Warfare,2014,Shooter,Activision,83,M,7680000
Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo,,,7620000
