Name,Year_of_Release,Genre,Publisher,Critic_Score,ESRB_Rating,Global_Sale
Monster Hunter Rise,2022,"Card Game,Action,Role-Playing,Adventure,Exploration,Multiplayer",Capcom,88,M,11.2
The Anacrusis,2022,Shooter,Stray Bombay Company,51,T,0.2
God of War,2022,Action,PlayStation PC,94,M,60.000128
Rainbow Six Extraction,2022,Action,Ubisoft,71,M,9
Windjammers 2,2022,Sports,DotEmu,78,E,0.040688
Not For Broadcast,2022,Simulation,tinyBuild,82,M,3
Pokemon Legends: Arceus,2022,"Role-Playing,Action,Role-Playing,Adventure,Exploration",Nintendo,32,E,12.009999
Uncharted: Legacy of Thieves Collection,2022,Compilation,PlayStation PC,87,T,41
Tom Clancy's Rainbow Six Extraction,2022,Shooter,Ubisoft,73,E,10.001597
The Waylanders,2022,Role-Playing,Gato Salvaje Studio,51,M,0.15
Dying Light 2 Stay Human,2022,"Action,Role-Playing,Open World,Survival,Decision-making,Parkour",Techland,76,M,5.003215
Sifu,2022,"Action,Fighting,Storytelling,Environments,Timing",Sloclap,81,M,1.203152
OlliOlli World,2022,"Action,Platformer,Exploration,Customization,Music",Private Division,84,E,5.003125
Know By Heart,2022,Adventure,Ice-pick Lodge,65,T,0.084577
Oddworld: Stranger's Wrath HD,2022,"Action,Action-Adventure,Exploration,Exploration,Stealth",Oddworld Inhabitants,88,T,1.600025
Lost Ark,2022,Action,Atari,55,E,1.500245
Dynasty Warriors 9 Empires,2022,Action,Koei Tecmo Games,61,T,0.28
King of Fighters XV,2022,"Fighting,Multiplayer,Storytelling,Strategy,Graphics",SNK Corporation,79,T,0.009062
Total War: Warhammer III,2022,Strategy,Sega,85,T,40.400152
Horizon Forbidden West,2022,"Action,Action-Adventure,RPG,Exploration,Stealth,Puzzle-Solving,Narrative",Sony Interactive Entertainment,88,T,20.001522
Destiny 2: The Witch Queen,2022,Shooter,Bungie Software,85,T,1.000099
Monark,2022,Role-Playing,FuRyu,66,T,0.2
Martha is Dead,2022,Adventure,Wired Productions,73,M,0.005313
Elden Ring,2022,"Role-Playing,RPG,Exploration,Multiplayer",Bandai Namco Games,96,M,17.500299
GRID Legends,2022,Racing,Electronic Arts,77,E,0.03927
Elex II,2022,Role-Playing,THQ,64,M,0.1
Shadow Warrior 3,2022,Action,Devolver Digital,71,M,0.1185
Babylon's Fall,2022,Action,Square Enix,41,T,0.112023
Gran Turismo 7,2022,Racing,PlayStation Studios,87,E,0.198
Triangle Strategy,2022,"Strategy,Tactical RPG,Narrative,Exploration,Fantasy",Nintendo,83,T,1.00001
SpellForce III Reforced,2022,Strategy,THQ Nordic,73,M,0.085821
Chocobo GP,2022,Racing,Square Enix,63,E,0.012414
